ПозПредупредТОРО,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Вид работы ТОРО,Вид заказа,Тип техкарты,Группа,СчетГруппТехкарт,updated-counter,strategy_str_counter,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
10600,100000005723,ТР дополнительных систем,100,100000008662,ТР,APP1,A,M0000003,71,71,1-0083_str71,M0000003_str71,"15,000","5,000"
10601,100000005724,Замена кузова,100,100000008662,ЗМН,APP1,A,M0000003,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000003_strЗЗ,"72,000","24,000"
10602,100000005725,ТР электрических систем,100,100000008662,ТР,APP1,A,M0000003,ТЭ,ТЭ,1-0085_strТЭ,M0000003_strТЭ,"15,000","5,000"
10603,100000005726,Техническое обслуживание 1,100,100000008662,ТО1,APP1,A,M0000003,О1,О1,2-0153_strО1,M0000003_strО1,"0,000","0,000"
10604,100000005726,Техническое обслуживание 2,100,100000008662,ТО2,APP1,A,M0000003,О2,О2,2-0153_strО2,M0000003_strО2,"0,000","0,000"
10605,100000005726,Техническое обслуживание 3,100,100000008662,ТО3,APP1,A,M0000003,О3,О3,2-0153_strО3,M0000003_strО3,"0,000","0,000"
10606,100000005727,КР гидросистемы,100,100000008662,КР,APP1,A,M0000003,7,7,2-0154_str7,M0000003_str7,"360,000","120,000"
10607,100000005727,ТР гидросистемы,100,100000008662,ТР,APP1,A,M0000003,69,69,2-0154_str69,M0000003_str69,"180,000","60,000"
10608,100000005728,Замена гидротрансформатора,100,100000008662,ЗМН,APP1,A,M0000003,ЗГ,ЗГ,2-0155_strЗГ,M0000003_strЗГ,"216,000","72,000"
10609,100000005728,КР гидротрансформатора,100,100000008662,КР,APP1,A,M0000003,8,8,2-0155_str8,M0000003_str8,"720,000","240,000"
10610,100000005729,Замена1 двигателя,100,100000008662,ЗМН,APP1,A,M0000003,40,Д1,2-0156_strД1,M0000003_str40,"288,000","96,000"
10611,100000005729,Замена2 двигателя,100,100000008662,ЗМН,APP1,A,M0000003,48,Д2,2-0156_strД2,M0000003_str48,"288,000","96,000"
10612,100000005730,Замена дифференциала,100,100000008662,ЗМН,APP1,A,M0000003,ЗФ,ЗФ,2-0157_strЗФ,M0000003_strЗФ,"0,000","0,000"
