,be,eo_model_name,eo_code,model_hour,year,month,month_year,calendar_fond_status,downtime_status,maintanance_jobs_id,maintanance_name
88,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 16:00:00,2023,1,1_2023,1,0.0,,
89,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 17:00:00,2023,1,1_2023,1,0.0,,
90,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 18:00:00,2023,1,1_2023,1,0.0,,
91,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 19:00:00,2023,1,1_2023,1,0.0,,
92,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 20:00:00,2023,1,1_2023,1,0.0,,
93,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 21:00:00,2023,1,1_2023,1,0.0,,
94,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 22:00:00,2023,1,1_2023,1,0.0,,
95,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-04 23:00:00,2023,1,1_2023,1,0.0,,
96,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 00:00:00,2023,1,1_2023,1,0.0,,
97,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 01:00:00,2023,1,1_2023,1,0.0,,
98,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 02:00:00,2023,1,1_2023,1,0.0,,
99,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 03:00:00,2023,1,1_2023,1,0.0,,
100,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 04:00:00,2023,1,1_2023,1,0.0,,
101,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 05:00:00,2023,1,1_2023,1,0.0,,
102,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 06:00:00,2023,1,1_2023,1,0.0,,
103,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 07:00:00,2023,1,1_2023,1,0.0,,
104,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-05 08:00:00,ЕТО
105,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 09:00:00,2023,1,1_2023,1,0.0,,
106,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 10:00:00,2023,1,1_2023,1,0.0,,
107,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 11:00:00,2023,1,1_2023,1,0.0,,
108,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 12:00:00,2023,1,1_2023,1,0.0,,
109,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 13:00:00,2023,1,1_2023,1,0.0,,
110,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 14:00:00,2023,1,1_2023,1,0.0,,
111,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 15:00:00,2023,1,1_2023,1,0.0,,
112,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 16:00:00,2023,1,1_2023,1,0.0,,
113,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 17:00:00,2023,1,1_2023,1,0.0,,
114,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 18:00:00,2023,1,1_2023,1,0.0,,
115,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 19:00:00,2023,1,1_2023,1,0.0,,
116,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 20:00:00,2023,1,1_2023,1,0.0,,
117,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 21:00:00,2023,1,1_2023,1,0.0,,
118,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 22:00:00,2023,1,1_2023,1,0.0,,
119,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-05 23:00:00,2023,1,1_2023,1,0.0,,
120,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 00:00:00,2023,1,1_2023,1,0.0,,
121,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 01:00:00,2023,1,1_2023,1,0.0,,
122,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 02:00:00,2023,1,1_2023,1,0.0,,
123,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 03:00:00,2023,1,1_2023,1,0.0,,
124,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 04:00:00,2023,1,1_2023,1,0.0,,
125,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 05:00:00,2023,1,1_2023,1,0.0,,
126,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 06:00:00,2023,1,1_2023,1,0.0,,
127,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 07:00:00,2023,1,1_2023,1,0.0,,
128,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-06 08:00:00,ЕТО
129,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 09:00:00,2023,1,1_2023,1,0.0,,
130,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 10:00:00,2023,1,1_2023,1,0.0,,
131,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 11:00:00,2023,1,1_2023,1,0.0,,
132,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 12:00:00,2023,1,1_2023,1,0.0,,
133,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 13:00:00,2023,1,1_2023,1,0.0,,
134,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 14:00:00,2023,1,1_2023,1,0.0,,
135,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 15:00:00,2023,1,1_2023,1,0.0,,
136,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 16:00:00,2023,1,1_2023,1,0.0,,
137,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 17:00:00,2023,1,1_2023,1,0.0,,
138,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 18:00:00,2023,1,1_2023,1,0.0,,
139,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 19:00:00,2023,1,1_2023,1,0.0,,
140,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 20:00:00,2023,1,1_2023,1,0.0,,
141,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 21:00:00,2023,1,1_2023,1,0.0,,
142,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 22:00:00,2023,1,1_2023,1,0.0,,
143,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-06 23:00:00,2023,1,1_2023,1,0.0,,
144,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 00:00:00,2023,1,1_2023,1,0.0,,
145,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 01:00:00,2023,1,1_2023,1,0.0,,
146,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 02:00:00,2023,1,1_2023,1,0.0,,
147,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 03:00:00,2023,1,1_2023,1,0.0,,
148,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 04:00:00,2023,1,1_2023,1,0.0,,
149,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 05:00:00,2023,1,1_2023,1,0.0,,
150,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 06:00:00,2023,1,1_2023,1,0.0,,
151,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 07:00:00,2023,1,1_2023,1,0.0,,
152,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-07 08:00:00,ЕТО
153,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 09:00:00,2023,1,1_2023,1,0.0,,
154,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 10:00:00,2023,1,1_2023,1,0.0,,
155,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 11:00:00,2023,1,1_2023,1,0.0,,
156,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 12:00:00,2023,1,1_2023,1,0.0,,
157,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 13:00:00,2023,1,1_2023,1,0.0,,
158,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 14:00:00,2023,1,1_2023,1,0.0,,
159,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 15:00:00,2023,1,1_2023,1,0.0,,
160,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 16:00:00,2023,1,1_2023,1,0.0,,
161,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 17:00:00,2023,1,1_2023,1,0.0,,
162,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 18:00:00,2023,1,1_2023,1,0.0,,
163,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 19:00:00,2023,1,1_2023,1,0.0,,
164,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 20:00:00,2023,1,1_2023,1,0.0,,
165,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 21:00:00,2023,1,1_2023,1,0.0,,
166,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 22:00:00,2023,1,1_2023,1,0.0,,
167,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-07 23:00:00,2023,1,1_2023,1,0.0,,
168,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 00:00:00,2023,1,1_2023,1,0.0,,
169,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 01:00:00,2023,1,1_2023,1,0.0,,
170,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 02:00:00,2023,1,1_2023,1,0.0,,
171,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 03:00:00,2023,1,1_2023,1,0.0,,
