,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
2442,МТЧ ТО1000-ТР8000-КР16000,МТЧ,Текущий ремонт,ТР,8000,2-0702ТР,2-0702_strТР
2443,МТЧ ТО1000-ТР8000-КР16000,МТЧ,Капитальный ремонт,КР,16000,2-0702КР,2-0702_strКР
2444,МТЧ ТО2160-ТР4320-КР35040,МТЧ,Техническое обслуживание,ТО,2160,2-0703ТО,2-0703_strТО
2445,МТЧ ТО2160-ТР4320-КР35040,МТЧ,Текущий ремонт,ТР,4320,2-0703ТР,2-0703_strТР
2446,МТЧ ТО2160-ТР4320-КР35040,МТЧ,Капитальный ремонт,КР,35040,2-0703КР,2-0703_strКР
2447,МТЧ ТО2160-ТР4320-КР43200,МТЧ,Техническое обслуживание,ТО,2160,2-0704ТО,2-0704_strТО
2448,МТЧ ТО2160-ТР4320-КР43200,МТЧ,Текущий ремонт,ТР,4320,2-0704ТР,2-0704_strТР
2449,МТЧ ТО2160-ТР4320-КР43200,МТЧ,Капитальный ремонт,КР,43200,2-0704КР,2-0704_strКР
2450,МТЧ ТО4320-ТР17280,МТЧ,Техническое обслуживание,ТО,4320,2-0705ТО,2-0705_strТО
2451,МТЧ ТО4320-ТР17280,МТЧ,Текущий ремонт,ТР,17280,2-0705ТР,2-0705_strТР
2452,МТЧ О1400-О2800-ТР11520-К34560,МТЧ,Техническое обслуживание 1,О1,400,2-0709О1,2-0709_strО1
2453,МТЧ О1400-О2800-ТР11520-К34560,МТЧ,Техническое обслуживание 2,О2,800,2-0709О2,2-0709_strО2
2454,МТЧ О1400-О2800-ТР11520-К34560,МТЧ,Текущий ремонт,ТР,11520,2-0709ТР,2-0709_strТР
2455,МТЧ О1400-О2800-ТР11520-К34560,МТЧ,Капитальный ремонт,КР,34560,2-0709КР,2-0709_strКР
2456,МТЧ 842000-3310000,МТЧ,ТР футеровка,84,2000,2-071084,2-0710_str84
2457,МТЧ 842000-3310000,МТЧ,КР футеровка,33,10000,2-071033,2-0710_str33
2458,МТЧ О1-О2-О3-О4-КР,МТЧ,Техническое обслуживание 1,О1,250,2-0711О1,2-0711_strО1
2459,МТЧ О1-О2-О3-О4-КР,МТЧ,Техническое обслуживание 2,О2,500,2-0711О2,2-0711_strО2
2460,МТЧ О1-О2-О3-О4-КР,МТЧ,Техническое обслуживание 3,О3,1000,2-0711О3,2-0711_strО3
2461,МТЧ О1-О2-О3-О4-КР,МТЧ,Техническое обслуживание 4,О4,2000,2-0711О4,2-0711_strО4
2462,МТЧ О1-О2-О3-О4-КР,МТЧ,Капитальный ремонт,КР,6000,2-0711КР,2-0711_strКР
2463,МТЧ 0212000,МТЧ,КР бортовых редукторов,2,12000,2-071202,2-0712_str2
2464,МТЧ 0612000,МТЧ,КР главной передачи,6,12000,2-071306,2-0713_str6
2465,МТЧ ТО3000,МТЧ,Техническое обслуживание,ТО,3000,2-0714ТО,2-0714_strТО
2466,МТЧ ТР2220,МТЧ,Текущий ремонт,ТР,2220,2-0715ТР,2-0715_strТР
2467,МТЧ ТО720-ТР4320,МТЧ,Техническое обслуживание,ТО,720,2-0716ТО,2-0716_strТО
2468,МТЧ ТО720-ТР4320,МТЧ,Текущий ремонт,ТР,4320,2-0716ТР,2-0716_strТР
2469,МТЧ ТО2180-ТР8720,МТЧ,Техническое обслуживание,ТО,2180,2-0717ТО,2-0717_strТО
2470,МТЧ ТО2180-ТР8720,МТЧ,Текущий ремонт,ТР,8720,2-0717ТР,2-0717_strТР
2471,МТЧ О2250-Т22000,МТЧ,Техническое обслуживание 2,О2,250,2-0718О2,2-0718_strО2
2472,МТЧ О2250-Т22000,МТЧ,Текущий ремонт 2,Т2,2000,2-0718Т2,2-0718_strТ2
2473,МТЧ О150-Т11000,МТЧ,Техническое обслуживание 1,О1,50,2-0719О1,2-0719_strО1
