Тип техкарты,Группа,СчтГрупТехкарт,Описание,Гр. плановиков,Стратегия,Метка удаления,Тип конструкции,Статус,Дата изменения,Дата создания,Действит. с,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",gruppa_str_counter
A,A0000013,О2,Техническое обслуживание 2,100,2-0613,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"13,000","13,000",A0000013_strО2
A,A0000013,О3,Техническое обслуживание 3,100,2-0613,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"24,000","24,000",A0000013_strО3
A,A0000013,О4,Техническое обслуживание 4,100,2-0613,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"26,000","26,000",A0000013_strО4
A,A0000013,О5,Техническое обслуживание 5,100,2-0613,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"17,400","17,400",A0000013_strО5
A,A0000013,Т1,Текущий ремонт 1,100,2-0612,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"920,000","96,000",A0000013_strТ1
A,A0000013,Т2,Текущий ремонт 2,100,2-0612,,960000013,4,2020-12-08,2020-12-07,2019-06-01,"1 506,000","120,000",A0000013_strТ2
A,A0000015,2,КР бортовых редукторов,100,2-0521,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"28,000","14,000",A0000015_str2
A,A0000015,5,КР гидравлического обор.,100,2-0560,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"400,000","250,000",A0000015_str5
A,A0000015,27,КР навесного оборудования,100,2-0549,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"175,000","120,000",A0000015_str27
A,A0000015,34,КР ходовой части,100,2-0564,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"180,000","90,000",A0000015_str34
A,A0000015,36,КР электрооборудования,100,2-0550,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"100,000","70,000",A0000015_str36
A,A0000015,69,ТР гидросистемы,100,2-0218,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"250,000","115,000",A0000015_str69
A,A0000015,70,ТР двигателя,100,2-0551,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"25,600","16,000",A0000015_str70
A,A0000015,87,ТР электрооборудования,100,2-0550,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"31,600","30,600",A0000015_str87
A,A0000015,ЗБ,Замена бортовых редукторов,100,2-0521,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"32,000","16,000",A0000015_strЗБ
A,A0000015,ЗД,Замена двигателя,100,2-0271,,960000015,4,2021-06-30,2020-12-07,2019-06-01,"275,600","139,300",A0000015_strЗД
A,A0000015,О1,Техническое обслуживание 1,100,2-0201,,960000015,4,2021-06-30,2020-12-07,2019-06-01,"10,800","9,200",A0000015_strО1
A,A0000015,О2,Техническое обслуживание 2,100,2-0201,,960000015,4,2021-06-30,2020-12-07,2019-06-01,"12,100","9,900",A0000015_strО2
A,A0000015,О3,Техническое обслуживание 3,100,2-0201,,960000015,4,2021-06-30,2020-12-07,2019-06-01,"26,100","21,400",A0000015_strО3
A,A0000015,О4,Техническое обслуживание 4,100,2-0201,,960000015,4,2021-06-30,2020-12-07,2019-06-01,"243,600","144,900",A0000015_strО4
A,A0000015,Р2,ТР2 рабочего оборудования,100,2-0549,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"329,200","113,600",A0000015_strР2
A,A0000015,РО,ТР1 рабочего оборудования,100,2-0549,,960000015,4,2020-12-07,2020-12-07,2019-06-01,"81,200","39,600",A0000015_strРО
A,A0000015,ТО,Техническое обслуживание,100,1-2011,,960000015,4,2022-02-01,2022-01-25,2022-01-25,"4,500","4,500",A0000015_strТО
A,A0000015,ТР,Текущий ремонт,100,2-0869,,960000015,4,2022-03-02,2021-05-13,2021-05-13,"15,000","15,000",A0000015_strТР
A,A0000019,69,ТР гидросистемы,100,2-0218,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"56,000","32,000",A0000019_str69
A,A0000019,85,ТР ходовой части,100,2-0362,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"1 031,300","268,300",A0000019_str85
A,A0000019,ЕО,Ежесменное ТО,100,1-2000,,960000019,4,2020-12-26,2020-12-25,2020-12-25,"0,500","0,500",A0000019_strЕО
A,A0000019,ЗУ,Замена футеровка,100,2-0553,,960000019,4,2020-12-08,2020-12-07,2019-06-01,"72,000","24,000",A0000019_strЗУ
A,A0000019,КР,Капитальный ремонт,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"5 600,000","1 800,000",A0000019_strКР
A,A0000019,О1,Техническое обслуживание 1,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"44,700","29,500",A0000019_strО1
A,A0000019,О2,Техническое обслуживание 2,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"51,800","33,100",A0000019_strО2
A,A0000019,О3,Техническое обслуживание 3,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"52,300","33,600",A0000019_strО3
A,A0000019,О4,Техническое обслуживание 4,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"38,100","25,700",A0000019_strО4
A,A0000019,О5,Техническое обслуживание 5,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"217,600","93,400",A0000019_strО5
A,A0000019,О6,Техническое обслуживание 6,100,2-0552,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"127,300","80,100",A0000019_strО6
A,A0000019,Р2,ТР2 рабочего оборудования,100,2-0361,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"331,200","91,200",A0000019_strР2
A,A0000019,РО,ТР1 рабочего оборудования,100,2-0361,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"463,100","154,500",A0000019_strРО
A,A0000019,ТО,Техническое обслуживание,100,1-2011,,960000019,4,2022-02-17,2022-02-12,2022-02-12,"10,500","10,500",A0000019_strТО
A,A0000019,ТП,ТР пневмосистемы,100,2-0273,,960000019,4,2020-12-07,2020-12-07,2019-06-01,"107,000","56,000",A0000019_strТП
A,A0000020,74,ТР ковша,100,2-0365,,960000020,4,2020-12-07,2020-12-07,2019-06-01,"1 742,000","726,000",A0000020_str74
A,A0000020,85,ТР ходовой части,100,2-0505,,960000020,4,2020-12-07,2020-12-07,2019-06-01,"267,600","102,000",A0000020_str85
A,A0000020,ЗУ,Замена футеровка,100,2-0555,,960000020,4,2020-12-07,2020-12-07,2019-06-01,"72,000","24,000",A0000020_strЗУ
A,A0000020,КР,Капитальный ремонт,100,2-0554,,960000020,4,2020-12-07,2020-12-07,2019-06-01,"4 962,000","720,000",A0000020_strКР
A,A0000020,О1,Техническое обслуживание 1,100,2-0684,,960000020,4,2021-07-16,2020-12-07,2019-06-01,"155,700","80,500",A0000020_strО1
