Единица оборудования,Техническое место,Выбранная строка,Тип техкарты,Группа,СчетГруппТехкарт,ТкстТехкрт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Завод,Группа плановиков,Страт. предупр. ТОРО,Внешний идентификатор техкарты
100000055017,,,E,5719,ЕО,Ежесменное ТО,"0,501","0,501",1100,100,1-0000,1035_235999
100000055019,,,E,5721,ЕО,Ежесменное ТО,"0,501","0,501",1100,100,1-0000,1037_236001
100000055016,,,E,5723,ЕО,Ежесменное ТО,"0,501","0,501",1100,100,1-0000,1039_235998
100000065953,,,E,5724,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1040_7795
100000055023,,,E,5725,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1041_236005
100000055024,,,E,5726,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1042_236006
100000055025,,,E,5727,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1043_236007
100000055011,,,E,5728,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,1045_235993
100000055008,,,E,5729,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1046_235990
100000055009,,,E,5730,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1047_235991
100000055010,,,E,5731,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1048_235992
100000055026,,,E,5737,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1054_236008
100000055027,,,E,5738,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,1055_236009
100000065950,,,E,5739,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,439_7787
100000065951,,,E,5740,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,440_7788
100000065946,,,E,5741,ЕО,Ежесменное ТО,"1,000","1,000",1100,100,1-0000,441_7782
100000065952,,,E,5742,ЕО,Ежесменное ТО,"1,000","1,000",1100,100,1-0000,442_7789
100000065593,,,E,5746,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,453_7392
100000065592,,,E,5747,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,454_7391
100000065596,,,E,5748,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,455_7395
100000065595,,,E,5749,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,456_7394
100000065597,,,E,5750,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,457_7396
100000065598,,,E,5751,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,458_7397
100000065599,,,E,5752,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,459_7398
100000065600,,,E,5753,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,460_7399
100000065602,,,E,5754,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,461_7400
100000065604,,,E,5755,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,463_7402
100000065605,,,E,5756,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,464_7403
100000065594,,,E,5757,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,466_7393
100000065514,,,E,5758,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,467_7282
100000065515,,,E,5759,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,468_7283
100000065516,,,E,5760,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,469_7284
100000065517,,,E,5761,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,470_7285
100000065518,,,E,5762,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,471_7286
100000065520,,,E,5763,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,472_7288
100000065521,,,E,5764,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,473_7289
100000065523,,,E,5765,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,474_7290
100000065525,,,E,5766,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,475_7292
100000065524,,,E,5767,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,476_7291
100000065526,,,E,5768,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,477_7293
100000065527,,,E,5769,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,478_7294
100000065519,,,E,5770,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,479_7287
100000065529,,,E,5771,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,480_7296
100000065530,,,E,5772,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,481_7297
100000065528,,,E,5773,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,482_7295
100000065531,,,E,5774,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,483_7298
100000065532,,,E,5775,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,484_7299
100000065535,,,E,5776,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,485_7300
100000065537,,,E,5777,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,487_7302
100000065538,,,E,5778,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,488_7303
100000065539,,,E,5779,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,489_7304
100000065540,,,E,5780,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,490_7305
100000065541,,,E,5781,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,491_7306
100000065542,,,E,5782,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,492_7307
100000065543,,,E,5783,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,493_7308
100000065544,,,E,5784,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,494_7309
100000065546,,,E,5785,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,495_7310
100000065547,,,E,5786,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,496_7311
100000065548,,,E,5787,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,497_7312
100000065512,,,E,5788,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,498_7280
100000065513,,,E,5789,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,499_7281
100000065511,,,E,5790,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,500_7279
100000026804,,,E,5791,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,501_108806
100000026805,,,E,5792,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,502_108807
100000026806,,,E,5793,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,503_108808
100000026807,,,E,5794,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,504_108809
100000026808,,,E,5795,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,505_108810
100000026809,,,E,5796,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,506_108811
100000026810,,,E,5797,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,507_108812
100000036418,,,E,5798,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,508_211899
100000036420,,,E,5799,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,509_211900
100000036421,,,E,5800,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,510_211901
100000065644,,,E,5801,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,511_7441
100000065646,,,E,5802,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,512_7443
100000065648,,,E,5803,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,513_7445
100000065647,,,E,5804,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,514_7444
100000065649,,,E,5805,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,515_7446
100000065645,,,E,5806,ЕО,Ежесменное ТО,"0,333","0,333",1100,100,1-0000,516_7442
100000027475,,,E,5807,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,517_109604
100000058897,,,E,5808,ЕО,Ежесменное ТО,"1,000","1,000",1100,100,1-0000,518_32444
100000059061,,,E,5812,ЕО,Ежесменное ТО,"0,300","0,300",1100,100,1-0000,522_32630
100000059062,,,E,5813,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,523_32631
100000026775,,,E,5814,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,524_108751
100000058906,,,E,5815,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,525_32456
100000059057,,,E,5816,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,527_32626
100000026787,,,E,5817,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,529_108766
100000026786,,,E,5818,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,530_108765
100000059036,,,E,5819,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,531_32604
100000059036,,,E,5819,ТО,Техническое обслуживание D475A-5 №202,"5,000","5,000",1100,100,1-0000,БУЛЬДОЗЕР D475A-5 №202
100000059037,,,E,5820,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,532_32605
100000059037,,,E,5820,ТО,Техническое обслуживание D475A-5 №203,"5,000","5,000",1100,100,1-0000,БУЛЬДОЗЕР D475A-5 №203
100000059046,,,E,5821,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,533_32614
100000059047,,,E,5822,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,534_32615
100000059048,,,E,5823,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,535_32616
100000059055,,,E,5824,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,536_32624
100000061898,,,E,5825,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,537_4793
100000061898,,,E,5825,ТО,Техническое облуживание DE810-CT №01,"5,000","5,000",1100,100,1-0000,СТАНОК БУРОВОЙ DE810-CT №01
100000061910,,,E,5828,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,540_4815
100000061887,,,E,5829,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,541_4783
100000061897,,,E,5830,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,542_4792
100000061885,,,E,5831,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,543_4781
100000065948,,,E,5832,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,544_7785
100000065947,,,E,5833,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,545_7784
100000063334,,,E,5834,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,546_5642
100000062752,,,E,5835,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,547_5449
100000063337,,,E,5837,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,549_5645
100000026774,,,E,5838,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,550_108741
100000063332,,,E,5839,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,551_5640
