Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005330,Т2,A0005330_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,1-0189,45325_30370,,960005330,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005330,ТО,A0005330_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0189,45323_30370,,960005330,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005332,Т1,A0005332_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0192,4903_30372,,960005332,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005332,Т2,A0005332_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0192,4904_30372,,960005332,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005332,ТО,A0005332_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0192,4902_30372,,960005332,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005333,Т1,A0005333_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0205,45528_30373,,960005333,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005333,Т2,A0005333_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0205,45529_30373,,960005333,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005333,ТО,A0005333_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,45527_30373,,960005333,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005335,Т1,A0005335_Т1,"18,000","6,000",Текущий ремонт 1,1100,100,1-0205,45489_30375,,960005335,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005335,Т2,A0005335_Т2,"36,000","12,000",Текущий ремонт 2,1100,100,1-0205,45490_30375,,960005335,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005335,ТО,A0005335_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45488_30375,,960005335,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005337,Т1,A0005337_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,2-0596,49728_30377,,960005337,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005337,Т2,A0005337_Т2,"48,000","24,000",Текущий ремонт 2,1100,100,2-0596,49729_30377,,960005337,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005337,ТО,A0005337_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0596,49727_30377,,960005337,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005338,Т1,A0005338_Т1,"18,000","6,000",Текущий ремонт 1,1100,100,1-0205,45473_30378,,960005338,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005338,Т2,A0005338_Т2,"36,000","12,000",Текущий ремонт 2,1100,100,1-0205,45474_30378,,960005338,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005338,ТО,A0005338_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45472_30378,,960005338,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005339,Т1,A0005339_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6309_30379,,960005339,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005339,Т2,A0005339_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6310_30379,,960005339,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005339,ТО,A0005339_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6308_30379,,960005339,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005341,Т1,A0005341_Т1,"16,000","8,000",Текущий ремонт 1,1100,100,1-0189,45256_30381,,960005341,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005341,Т2,A0005341_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0189,45257_30381,,960005341,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005341,ТО,A0005341_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0189,45255_30381,,960005341,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005342,Т1,A0005342_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0205,45516_30382,,960005342,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005342,Т2,A0005342_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,45517_30382,,960005342,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005342,ТО,A0005342_ТО,"4,000","2,000",Техническое обслуживание,1100,100,1-0205,45515_30382,,960005342,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005346,Т1,A0005346_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,45507_30386,,960005346,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
